Index,photo
73,https://upload.wikimedia.org/wikipedia/commons/3/37/Bab_en-Nasr_%281878%29_-_TIMEA.jpg
73,https://upload.wikimedia.org/wikipedia/commons/2/2a/Bab_al-Nasr_in_2017%2C_photo_by_Hatem_Moushir_09.jpg
73,https://upload.wikimedia.org/wikipedia/commons/a/a2/Cairo-Bab-al-Nasr.jpg
73,https://upload.wikimedia.org/wikipedia/commons/9/9d/Bab_al-Nasr_in_2017%2C_photo_by_Hatem_Moushir_26.jpg
73,https://upload.wikimedia.org/wikipedia/commons/d/da/Bab_al-Nasr_in_2017%2C_photo_by_Hatem_Moushir_18.jpg
73,https://upload.wikimedia.org/wikipedia/commons/c/c7/Bab_al-Nasr_in_2017%2C_photo_by_Hatem_Moushir_11.jpg
73,https://upload.wikimedia.org/wikipedia/commons/d/dc/Bab_al-Nasr_in_2017%2C_photo_by_Hatem_Moushir_13.jpg
73,https://upload.wikimedia.org/wikipedia/commons/0/0a/Bab_al-Nasr_in_2017%2C_photo_by_Hatem_Moushir_22.jpg
73,https://upload.wikimedia.org/wikipedia/commons/5/5d/Cairo_-_Bab_an-Nasr_02.jpg
73,https://upload.wikimedia.org/wikipedia/commons/5/52/Bab_al-Nasr_in_2017%2C_photo_by_Hatem_Moushir_06.jpg
73,https://upload.wikimedia.org/wikipedia/commons/b/be/Cairo_-_Bab_an-Nasr_03.jpg
73,https://upload.wikimedia.org/wikipedia/commons/3/37/Bab_al-Nasr_in_2017%2C_photo_by_Hatem_Moushir_25.jpg
73,https://upload.wikimedia.org/wikipedia/commons/6/6c/Kalema_at_Bab_al_Nasr%2C_Fatimid_Cairo.jpg
73,https://upload.wikimedia.org/wikipedia/commons/c/c3/Flickr_-_Bakar_88_-_Machicoulis%2C_Nasr_Gate.jpg
73,https://upload.wikimedia.org/wikipedia/commons/f/fa/Cairo_-_Bab_an-Nasr_01.jpg
73,https://upload.wikimedia.org/wikipedia/commons/4/49/Bab_al-Nasr_in_2017%2C_photo_by_Hatem_Moushir_10.jpg
73,https://upload.wikimedia.org/wikipedia/commons/0/07/Bab_al-Nasr_in_2017%2C_photo_by_Hatem_Moushir_21.jpg
